iter	Passed	Remaining
0	2	428
1	3	391
2	5	381
3	7	380
4	9	374
5	11	380
6	14	391
7	16	385
8	17	381
9	19	375
10	21	370
11	23	366
12	25	367
13	28	375
14	30	374
15	32	371
16	34	367
17	35	362
18	37	358
19	39	354
20	41	351
21	44	357
22	46	356
23	48	352
24	49	349
25	51	346
26	53	342
27	55	340
28	57	339
29	60	342
30	62	342
31	64	339
32	66	336
33	68	333
34	70	330
35	72	331
36	77	339
37	78	336
38	80	333
39	82	330
40	84	327
41	86	325
42	88	321
43	90	322
44	93	320
45	94	317
46	96	314
47	98	311
48	100	308
49	101	305
50	103	302
51	107	305
52	109	303
53	111	300
54	113	298
55	114	295
56	116	292
57	118	289
58	120	288
59	123	288
60	125	285
61	126	282
62	128	279
63	130	277
64	132	274
65	134	272
66	136	271
67	138	269
68	140	266
69	142	264
70	144	262
71	146	259
72	148	257
73	149	255
74	152	254
75	155	253
76	157	250
77	158	248
78	161	246
79	163	245
80	166	244
81	169	244
82	171	241
83	173	239
84	175	236
85	176	234
86	179	232
87	181	230
88	184	229
89	186	227
90	188	225
91	189	222
92	192	221
93	194	218
94	195	216
95	197	214
96	200	212
97	202	210
98	204	208
99	205	205
100	208	204
101	210	202
102	213	200
103	216	199
104	217	197
105	219	194
106	221	192
107	223	190
108	224	187
109	226	185
110	228	183
111	231	181
112	233	179
113	235	177
114	237	175
115	239	173
116	241	171
117	243	168
118	245	167
119	248	165
120	249	163
121	251	161
122	253	158
123	255	156
124	257	154
125	259	152
126	262	150
127	264	148
128	266	146
129	268	144
130	269	142
131	271	139
132	273	137
133	275	135
134	278	133
135	280	131
136	282	129
137	284	127
138	286	125
139	287	123
140	289	121
141	292	119
142	294	117
143	296	115
144	298	113
145	300	111
146	302	108
147	304	106
148	306	104
149	309	103
150	310	100
151	312	98
152	314	96
153	316	94
154	318	92
155	320	90
156	324	88
157	326	86
158	328	84
159	330	82
160	331	80
161	333	78
162	335	76
163	339	74
164	341	72
165	343	70
166	345	68
167	347	66
168	349	64
169	350	61
170	353	59
171	363	59
172	365	57
173	367	54
174	370	52
175	372	50
176	374	48
177	375	46
178	377	44
179	379	42
180	381	40
181	383	37
182	386	35
183	388	33
184	390	31
185	392	29
186	394	27
187	396	25
188	398	23
189	400	21
190	402	18
191	404	16
192	406	14
193	408	12
194	410	10
195	412	8
196	413	6
197	416	4
198	419	2
199	421	0
