iter	RMSE
0	887.0667389
1	851.5455931
2	825.624503
3	795.9170459
4	764.9234206
5	734.1274812
6	708.8663188
7	679.4739881
8	651.8876675
9	625.6455048
10	602.2008421
11	578.3232062
12	555.8223057
13	536.8811716
14	518.7889689
15	497.6588831
16	480.7633507
17	464.2996327
18	447.0332074
19	429.0184015
20	413.0982156
21	398.2186844
22	383.578331
23	368.9949987
24	355.4136975
25	343.4780731
26	331.7944141
27	320.3245512
28	308.315357
29	298.0150933
30	287.8807285
31	278.5755517
32	269.236153
33	261.6186145
34	252.5112145
35	243.9433291
36	236.3553901
37	229.0209814
38	221.1360602
39	214.3607087
40	208.2660119
41	202.9124992
42	197.498329
43	191.7093889
44	186.4304514
45	181.579354
46	176.2503025
47	171.1035484
48	166.7000574
49	162.0112331
50	157.5263573
51	153.3768599
52	149.7138489
53	146.2577538
54	142.7821726
55	139.8314429
56	136.7644622
57	133.9464125
58	131.3018423
59	128.5313493
60	126.2466382
61	124.054525
62	121.9848467
63	119.6815912
64	117.6522049
65	116.0080096
66	114.0697932
67	112.2585381
68	110.6229957
69	108.9677434
70	107.4771854
71	106.0752036
72	105.0368699
73	103.7716837
74	102.4363111
75	101.3889323
76	100.3081065
77	99.21597105
78	98.28799646
79	97.44106379
80	96.75606399
81	95.76437238
82	94.86401725
83	94.04780088
84	93.45443298
85	92.84025877
86	92.05236646
87	91.43393725
88	90.89564626
89	90.15284456
90	89.72166613
91	89.05885535
92	88.58607766
93	88.07050383
94	87.68203415
95	87.29271925
96	87.02508267
97	86.55106419
98	86.0128307
99	85.53810002
100	84.96236274
101	84.38779516
102	84.06200431
103	83.70452503
104	83.28730924
105	82.93570776
106	82.38276165
107	81.82414163
108	81.59232924
109	80.99390831
110	80.54597583
111	80.23553706
112	79.8601014
113	79.58903418
114	79.31673675
115	79.15342117
116	78.82011768
117	78.58594154
118	78.33498938
119	78.13621016
120	77.94144882
121	77.76749638
122	77.55468421
123	77.22292649
124	77.00091423
125	76.68661593
126	76.55668028
127	76.2892965
128	75.9550067
129	75.82376952
130	75.70836213
131	75.59650173
132	75.3564059
133	74.88993865
134	74.73971225
135	74.52255188
136	74.23369354
137	73.78791396
138	73.60855019
139	73.46680542
140	73.2886673
141	72.94067868
142	72.72037164
143	72.4905892
144	72.26121726
145	71.89243399
146	71.59542952
147	71.27127783
148	71.17890427
149	71.04281223
150	70.91261106
151	70.77466029
152	70.48259289
153	70.32769567
154	69.97862628
155	69.90744476
156	69.7117741
157	69.53786316
158	69.44454913
159	69.24507576
160	68.98412495
161	68.83928645
162	68.71011195
163	68.43746917
164	68.2639155
165	68.17045203
166	68.06465725
167	67.80197959
168	67.60733937
169	67.39202742
170	67.2579961
171	67.11044456
172	66.8435791
173	66.61461631
174	66.41971454
175	66.18818675
176	66.09513423
177	65.84947999
178	65.60981549
179	65.45056336
180	65.32422081
181	65.13794333
182	65.00935381
183	64.78426089
184	64.57782691
185	64.31119228
186	64.01883732
187	63.78322404
188	63.58824558
189	63.42739238
190	63.25503197
191	63.0917885
192	62.88672693
193	62.80979498
194	62.68571883
195	62.53630033
196	62.32319151
197	62.21046562
198	62.00061821
199	61.87662729
